Team,Player,Pos.,Age,HT,WT,Exp,College
DET,Jahmyr Gibbs,RB,24.0,"5' 9""",202 lbs,4,
DET,Justin Jackson,RB,30.0,"6' 0""",199 lbs,6,
DET,Kye Robichaux,RB,23.0,"6' 0""",213 lbs,2,
DET,Raheem Blackshear,RB,28.0,"5' 9""",190 lbs,4,
DET,Sione Vaki,RB,25.0,"5' 11""",216 lbs,3,
DET,Trayveon Williams,RB,28.0,"5' 8""",206 lbs,8,
DET,Brock Wright,TE,27.0,"6' 5""",254 lbs,6,
DET,Sam LaPorta,TE,25.0,"6' 3""",245 lbs,4,
DET,Thomas Gordon,TE,25.0,"6' 4""",250 lbs,1,
DET,Tyler Conklin,TE,31.0,"6' 3""",245 lbs,9,
DET,Zach Horton,TE,23.0,"6' 4""",256 lbs,1,
DET,Amon-Ra St. Brown,WR,26.0,"6' 0""",202 lbs,6,
DET,Cedrick Wilson Jr.,WR,30.0,"6' 2""",205 lbs,9,
DET,Dominic Lovett,WR,23.0,"5' 10""",185 lbs,2,
DET,Greg Dortch,WR,28.0,"5' 7""",183 lbs,6,
DET,Isaac TeSlaa,WR,24.0,"6' 4""",214 lbs,2,
DET,Jackson Meeks,WR,23.0,"6' 2""",235 lbs,1,
DET,Jameson Williams,WR,25.0,"6' 1""",184 lbs,5,
DET,Kendrick Law,WR,22.0,"5' 11""",203 lbs,0,
DET,Lucky Jackson,WR,29.0,"6' 1""",185 lbs,1,
DET,Malik Cunningham,WR,27.0,"6' 1""",190 lbs,2,
DET,Tarik Black,WR,28.0,"6' 3""",213 lbs,1,
DET,Tay Martin,WR,28.0,"6' 3""",186 lbs,1,
DET,Tom Kennedy,WR,30.0,"5' 10""",195 lbs,4,
GB,Jordan Love,QB,27.0,"6' 4""",219 lbs,7,
GB,Kyle McCord,QB,23.0,"6' 3""",218 lbs,1,
GB,Tyrod Taylor,QB,37.0,"6' 1""",217 lbs,16,
GB,Chris Brooks,RB,26.0,"6' 1""",219 lbs,4,
GB,Damien Martinez,RB,22.0,"6' 0""",217 lbs,1,
GB,Jaden Nixon,RB,23.0,"5' 10""",199 lbs,0,
GB,Josh Jacobs,RB,28.0,"5' 10""",223 lbs,8,
GB,MarShawn Lloyd,RB,25.0,"5' 9""",220 lbs,3,
GB,Pierre Strong Jr.,RB,27.0,"5' 11""",207 lbs,4,
GB,Drake Dabney,TE,24.0,"6' 5""",246 lbs,1,
GB,Josh Whyle,TE,26.0,"6' 7""",248 lbs,4,
GB,Luke Musgrave,TE,25.0,"6' 6""",253 lbs,4,
GB,McCallan Castles,TE,26.0,"6' 4""",244 lbs,1,
GB,Messiah Swinson,TE,26.0,"6' 7""",259 lbs,1,
GB,Thomas Yassmin,TE,26.0,"6' 4""",245 lbs,1,
GB,Tucker Kraft,TE,25.0,"6' 5""",259 lbs,4,
GB,Bo Melton,WR,27.0,"5' 11""",189 lbs,3,
GB,Chris Hilton Jr.,WR,23.0,"6' 0""",188 lbs,0,
GB,Christian Watson,WR,27.0,"6' 4""",215 lbs,5,
GB,Isaiah Neyor,WR,25.0,"6' 4""",218 lbs,1,
GB,J. Michael Sturdivant,WR,23.0,"6' 3""",207 lbs,0,
GB,Jayden Reed,WR,26.0,"5' 11""",187 lbs,4,
GB,Kaden Prather,WR,23.0,"6' 3""",204 lbs,1,
GB,Kisean Johnson,WR,24.0,"6' 0""",216 lbs,0,
GB,Matthew Golden,WR,23.0,"5' 11""",191 lbs,2,
GB,Savion Williams,WR,24.0,"6' 4""",222 lbs,2,
GB,Skyy Moore,WR,25.0,"5' 10""",195 lbs,5,
GB,Will Sheppard,WR,24.0,"6' 3""",196 lbs,1,
HOU,Brett Rypien,QB,30.0,"6' 2""",202 lbs,8,
HOU,C.J. Stroud,QB,24.0,"6' 3""",218 lbs,4,
HOU,Davis Mills,QB,27.0,"6' 4""",225 lbs,6,
HOU,Graham Mertz,QB,25.0,"6' 2""",216 lbs,2,
HOU,British Brooks,RB,26.0,"5' 11""",225 lbs,3,
HOU,David Montgomery,RB,29.0,"5' 11""",230 lbs,8,
HOU,Deuce Vaughn,RB,24.0,"5' 6""",176 lbs,4,
HOU,Jawhar Jordan,RB,27.0,"5' 10""",185 lbs,1,
HOU,Josh Pitsenberger,RB,22.0,"6' 0""",215 lbs,0,
HOU,Noah Whittington,RB,24.0,"5' 8""",203 lbs,0,
HOU,Owen Wright,RB,27.0,"5' 9""",217 lbs,2,
HOU,Woody Marks,RB,25.0,"5' 10""",208 lbs,2,
HOU,Brevin Jordan,TE,26.0,"6' 3""",245 lbs,6,
HOU,Cade Stover,TE,26.0,"6' 4""",251 lbs,3,
HOU,Dalton Schultz,TE,30.0,"6' 5""",242 lbs,9,
HOU,Foster Moreau,TE,29.0,"6' 4""",250 lbs,8,
HOU,Layne Pryor,TE,23.0,"6' 2""",250 lbs,1,
HOU,Louis Hansen,TE,24.0,"6' 5""",240 lbs,0,
HOU,Marlin Klein,TE,23.0,"6' 6""",250 lbs,0,
HOU,Daniel Sobkowicz,WR,23.0,"6' 3""",205 lbs,0,
HOU,Jared Wayne,WR,25.0,"6' 3""",210 lbs,1,
HOU,Jayden Higgins,WR,23.0,"6' 4""",215 lbs,2,
HOU,Jaylin Noel,WR,23.0,"5' 11""",201 lbs,2,
HOU,Josh Kelly,WR,25.0,"6' 1""",192 lbs,1,
HOU,Justin Watson,WR,30.0,"6' 2""",215 lbs,9,
HOU,Kayshon Boutte,WR,24.0,"5' 11""",203 lbs,4,
HOU,Lewis Bond,WR,23.0,"5' 11""",190 lbs,0,
HOU,Nico Collins,WR,27.0,"6' 4""",222 lbs,6,
HOU,Sterling Shepard,WR,33.0,"5' 10""",194 lbs,10,
HOU,Tank Dell,WR,26.0,"5' 10""",165 lbs,4,
HOU,Treyvhon Saunders,WR,22.0,"5' 9""",190 lbs,0,
HOU,Xavier Hutchinson,WR,26.0,"6' 3""",210 lbs,4,
HOU,Zay Jones,WR,31.0,"6' 2""",200 lbs,9,
IND,Anthony Richardson Sr.,QB,24.0,"6' 4""",244 lbs,4,
IND,Daniel Jones,QB,29.0,"6' 5""",230 lbs,8,
IND,Easton Stick,QB,30.0,"6' 1""",224 lbs,7,
IND,Riley Leonard,QB,23.0,"6' 4""",213 lbs,2,
IND,Anderson Castle,RB,24.0,"5' 11""",221 lbs,0,
IND,DJ Giddens,RB,22.0,"6' 0""",212 lbs,2,
IND,Jonathan Taylor,RB,27.0,"5' 10""",226 lbs,7,
