Rank,Player,Team,Pos.,PPR,Std,Age,PassAtt,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
289,Travis Etienne,NOR,RB,230.70000000000002,205.70000000000002,27.0,0.0,0.0,0.0,0.0,25.0,229.0,5.0,240.0,1048.0,8.0
290,Alvin Kamara,NOR,RB,147.1,109.1,31.0,0.0,0.0,0.0,0.0,38.0,225.0,0.0,192.0,686.0,3.0
291,Devin Neal,NOR,RB,109.2,84.2,23.0,0.0,0.0,0.0,0.0,25.0,153.0,0.0,112.0,389.0,5.0
292,Juwan Johnson,NOR,TE,145.5,83.5,29.0,0.0,0.0,0.0,0.0,62.0,655.0,3.0,0.0,0.0,0.0
293,Oscar Delp,NOR,TE,70.2,45.2,23.0,0.0,0.0,0.0,0.0,25.0,272.0,3.0,0.0,0.0,0.0
294,Noah Fant,NOR,TE,68.5,43.5,28.0,0.0,0.0,0.0,0.0,25.0,255.0,3.0,0.0,0.0,0.0
295,Chris Olave,NOR,WR,203.1,127.1,26.0,0.0,0.0,0.0,3.0,76.0,911.0,7.0,0.0,0.0,0.0
296,Jordyn Tyson,NOR,WR,102.0,64.0,22.0,0.0,0.0,0.0,0.0,38.0,447.0,3.0,0.0,13.0,0.0
297,Ronnie Bell,NOR,WR,62.0,49.0,26.0,0.0,0.0,0.0,0.0,13.0,190.0,5.0,0.0,0.0,0.0
298,Devaughn Vele,NOR,WR,83.3,58.3,28.0,0.0,0.0,0.0,0.0,25.0,343.0,4.0,0.0,0.0,0.0
299,Bryce Lance,NOR,WR,96.4,58.4,24.0,0.0,0.0,0.0,0.0,38.0,450.0,2.0,0.0,14.0,0.0
300,Jaxson Dart,NYG,QB,333.38,333.38,23.0,413.0,3477.0,27.0,7.0,0.0,0.0,0.0,79.0,463.0,9.0
301,Jameis Winston,NYG,QB,41.31999999999999,41.31999999999999,32.0,41.0,443.0,2.0,1.0,0.0,33.0,1.0,8.0,23.0,1.0
302,Cam Skattebo,NYG,RB,264.4,229.39999999999998,24.0,0.0,0.0,0.0,0.0,35.0,307.0,7.0,208.0,847.0,12.0
303,Tyrone Tracy Jr.,NYG,RB,170.4,135.4,26.0,0.0,0.0,0.0,0.0,35.0,256.0,2.0,192.0,798.0,3.0
304,Devin Singletary,NYG,RB,97.9,85.9,28.0,0.0,0.0,0.0,0.0,12.0,139.0,0.0,112.0,420.0,5.0
305,Theo Johnson,NYG,TE,100.1,65.1,25.0,0.0,0.0,0.0,0.0,35.0,411.0,4.0,0.0,0.0,0.0
306,Isaiah Likely,NYG,TE,55.5,32.5,26.0,0.0,0.0,0.0,0.0,23.0,265.0,1.0,0.0,0.0,0.0
307,Tanner Conner,NYG,TE,25.8,13.8,28.0,0.0,0.0,0.0,0.0,12.0,138.0,0.0,0.0,0.0,0.0
308,Malik Nabers,NYG,WR,175.5,117.5,23.0,0.0,0.0,0.0,0.0,58.0,815.0,6.0,0.0,0.0,0.0
309,Calvin Austin III,NYG,WR,73.8,50.8,27.0,0.0,0.0,0.0,0.0,23.0,328.0,3.0,0.0,0.0,0.0
310,Darius Slayton,NYG,WR,91.4,56.4,29.0,0.0,0.0,0.0,0.0,35.0,444.0,2.0,0.0,0.0,0.0
311,Malachi Fields,NYG,WR,95.3,60.3,22.0,0.0,0.0,0.0,0.0,35.0,410.0,3.0,0.0,13.0,0.0
312,Darnell Mooney,NYG,WR,63.0,40.0,28.0,0.0,0.0,0.0,0.0,23.0,340.0,1.0,0.0,0.0,0.0
313,Geno Smith,NYJ,QB,209.14000000000001,209.14000000000001,35.0,470.0,3456.0,24.0,18.0,0.0,0.0,0.0,42.0,109.0,0.0
314,Brady Cook,NYJ,QB,4.220000000000001,4.220000000000001,24.0,10.0,53.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,0.0
