Rank,Player,Team,Pos.,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
242,Isaac Guerendo,SFO,RB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
243,Isaac TeSlaa,DET,WR,4.8,3.8,0,0.0,0.0,1,14,0.4,0,0,0.0
244,Isaiah Bond,CLE,WR,3.3,2.3,0,0.0,0.0,1,21,0.0,0,2,0.0
245,Isaiah Davis,NYJ,RB,4.2,3.2,0,0.0,0.0,1,11,0.0,3,15,0.1
246,Isaiah Hodgins,NYG,WR,3.2,2.2,0,0.0,0.0,1,16,0.1,0,0,0.0
247,Isaiah Likely,BAL,TE,4.7,2.7,0,0.0,0.0,2,21,0.1,0,0,0.0
248,Isaiah Williams,NYJ,WR,3.5,1.5,0,0.0,0.0,2,13,0.0,0,2,0.0
249,Isiah Pacheco,KAN,RB,6.5,5.5,0,0.0,0.0,1,8,0.1,9,35,0.1
250,J.J. McCarthy,MIN,QB,15.2,15.2,164,1.1,1.2,0,0,0.0,4,18,0.4
251,J.K. Dobbins,DEN,RB,11.5,10.5,0,0.0,0.0,1,4,0.0,15,77,0.4
252,JP Richardson,CHI,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
253,Ja'Corey Brooks,WSH,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
254,Ja'Marr Chase,CIN,WR,19.9,11.9,0,0.0,0.0,8,88,0.5,0,1,0.0
255,Ja'Tavion Sanders,CAR,TE,4.1,2.1,0,0.0,0.0,2,15,0.1,0,0,0.0
256,Jacardia Wright,SEA,RB,2.0,2.0,0,0.0,0.0,0,0,0.0,5,20,0.0
257,Jack Bech,LVR,WR,2.4,1.4,0,0.0,0.0,1,14,0.0,0,0,0.0
258,Jack Stoll,NOR,TE,0.9,0.9,0,0.0,0.0,0,3,0.1,0,0,0.0
259,Jack Westover,NWE,FB,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
260,Jackson Hawes,BUF,TE,3.3,2.3,0,0.0,0.0,1,11,0.2,0,0,0.0
261,Jackson Meeks,DET,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
262,Jacob Saylors,DET,RB,0.1,0.1,0,0.0,0.0,0,0,0.0,0,1,0.0
263,Jacoby Brissett,ARI,QB,17.8,17.8,239,1.6,0.6,0,0,0.0,3,12,0.1
264,Jacoby Jones,WSH,WR,3.5,2.5,0,0.0,0.0,1,25,0.0,0,0,0.0
