Player,Team,Pos.,G,PassAtt,PassAttStDev,Cmp,IndComp%,CompStDev,TeamComp%,PassYds,PassYdsStDev,PassYds%,PassTD,PassTDStDev,PassTD%,Int,IntStDev,Int%,Tgt,TgtStDev,Rec,IndCatch%,CatStDev,TmCatch%,RecYds,RecYdsStDev,RecYds%,RecTD,RecTDStDev,RecTD%,RushAtt,RushStDev,Rush%,RushYds,RushYdsStDev,RushYds%,RushTD,RushTDStDev,RushTD%,Opp,Week
Carnell Tate,TEN,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11,0.7071067811865476,7,0.6363636363636364,0.7071067811865476,0.21875,65,7.7781745930520225,0.20123839009287925,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,NYG,3
Carsen Ryan,CLE,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,CAR,3
Carson Wentz,MIN,QB,2,39,0.7071067811865476,23,0.5897435897435898,0.7071067811865476,0.5227272727272727,276,7.0710678118654755,0.9387755102040817,3,2.1213203435596424,1.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,1.4142135623730951,0.12903225806451613,5,4.949747468305833,0.022123893805309734,0,0.0,0.0,TAM,3
CeeDee Lamb,DAL,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,17,0.7071067811865476,13,0.7647058823529411,2.1213203435596424,0.2708333333333333,197,77.07463914933368,0.43392070484581496,3,0.7071067811865476,0.5,1,0.7071067811865476,0.02564102564102564,0,0.0,0.0,0,0.0,0.0,BAL,3
Charlie Kolar,LAC,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,2.1213203435596424,3,1.0,2.1213203435596424,0.09375,21,14.849242404917497,0.05236907730673317,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,BUF,3
Charlie Woerner,ATL,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.7071067811865476,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,GNB,3
Chase Brown,CIN,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11,0.7071067811865476,8,0.7272727272727273,1.4142135623730951,0.17777777777777778,24,14.142135623730951,0.052060737527114966,0,0.0,0.0,36,2.8284271247461903,0.72,136,16.97056274847714,0.7120418848167539,1,0.7071067811865476,1.0,PIT,3
Chig Okonkwo,WSH,TE,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,0,2,0.6666666666666666,0,0.1111111111111111,16,0,0.0975609756097561,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,SEA,3
Chimere Dike,TEN,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.7071067811865476,1,1.0,0.7071067811865476,0.03125,7,4.949747468305833,0.021671826625386997,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,NYG,3
Chris Bell,MIA,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.7071067811865476,1,0.3333333333333333,0.7071067811865476,0.034482758620689655,25,17.67766952966369,0.05995203836930456,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,KAN,3
Chris Blair,ATL,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,2.1213203435596424,1,0.3333333333333333,0.7071067811865476,0.03333333333333333,6,4.242640687119285,0.020833333333333332,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,GNB,3
